NAME,topic,group,geography,label,estimate,pct,reliable,estimate_reliable,pct_reliable
"Madison County, Alabama",cvap,Asian American Alone,county,CVAP,9025,0.529,YES,9025,0.529
"Madison County, Alabama",cvap,NHPI Alone,county,CVAP,305,0.82,YES,305,0.82
"Marengo County, Alabama",cvap,Asian American Alone,county,CVAP,0,,NO,,
"Marengo County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Marion County, Alabama",cvap,Asian American Alone,county,CVAP,50,0.9,NO,,
"Marion County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Marshall County, Alabama",cvap,Asian American Alone,county,CVAP,595,0.387,YES,595,0.387
"Marshall County, Alabama",cvap,NHPI Alone,county,CVAP,45,1,NO,,
"Mobile County, Alabama",cvap,Asian American Alone,county,CVAP,8415,0.533,YES,8415,0.533
"Mobile County, Alabama",cvap,NHPI Alone,county,CVAP,75,0.867,NO,,
"Monroe County, Alabama",cvap,Asian American Alone,county,CVAP,120,0.625,NO,,
"Monroe County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Montgomery County, Alabama",cvap,Asian American Alone,county,CVAP,6295,0.361,YES,6295,0.361
"Montgomery County, Alabama",cvap,NHPI Alone,county,CVAP,40,1,NO,,
"Morgan County, Alabama",cvap,Asian American Alone,county,CVAP,775,0.6,YES,775,0.6
"Morgan County, Alabama",cvap,NHPI Alone,county,CVAP,50,0.4,NO,,
"Perry County, Alabama",cvap,Asian American Alone,county,CVAP,20,0,NO,,
"Perry County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Pickens County, Alabama",cvap,Asian American Alone,county,CVAP,15,1,NO,,
"Pickens County, Alabama",cvap,NHPI Alone,county,CVAP,10,1,NO,,
"Pike County, Alabama",cvap,Asian American Alone,county,CVAP,715,0.077,NO,,
"Pike County, Alabama",cvap,NHPI Alone,county,CVAP,4,1,NO,,
"Randolph County, Alabama",cvap,Asian American Alone,county,CVAP,70,0.786,NO,,
"Randolph County, Alabama",cvap,NHPI Alone,county,CVAP,50,0.6,NO,,
"Russell County, Alabama",cvap,Asian American Alone,county,CVAP,450,0.689,YES,450,0.689
"Russell County, Alabama",cvap,NHPI Alone,county,CVAP,70,0.214,NO,,
"St. Clair County, Alabama",cvap,Asian American Alone,county,CVAP,700,0.429,YES,700,0.429
"St. Clair County, Alabama",cvap,NHPI Alone,county,CVAP,10,1,NO,,
"Shelby County, Alabama",cvap,Asian American Alone,county,CVAP,4250,0.421,YES,4250,0.421
"Shelby County, Alabama",cvap,NHPI Alone,county,CVAP,45,0.667,NO,,
"Sumter County, Alabama",cvap,Asian American Alone,county,CVAP,340,0.162,NO,,
"Sumter County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Talladega County, Alabama",cvap,Asian American Alone,county,CVAP,450,0.589,YES,450,0.589
"Talladega County, Alabama",cvap,NHPI Alone,county,CVAP,30,1,NO,,
"Tallapoosa County, Alabama",cvap,Asian American Alone,county,CVAP,155,0.419,NO,,
"Tallapoosa County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Tuscaloosa County, Alabama",cvap,Asian American Alone,county,CVAP,3280,0.375,YES,3280,0.375
"Tuscaloosa County, Alabama",cvap,NHPI Alone,county,CVAP,75,0.867,NO,,
"Walker County, Alabama",cvap,Asian American Alone,county,CVAP,310,0.613,YES,310,0.613
"Walker County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Washington County, Alabama",cvap,Asian American Alone,county,CVAP,60,0.067,NO,,
"Washington County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Wilcox County, Alabama",cvap,Asian American Alone,county,CVAP,0,,NO,,
"Wilcox County, Alabama",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Winston County, Alabama",cvap,Asian American Alone,county,CVAP,30,0.333,NO,,
"Winston County, Alabama",cvap,NHPI Alone,county,CVAP,10,1,NO,,
"Aleutians East Borough, Alaska",cvap,Asian American Alone,county,CVAP,880,0.364,YES,880,0.364
"Aleutians East Borough, Alaska",cvap,NHPI Alone,county,CVAP,25,0.4,NO,,
"Aleutians West Census Area, Alaska",cvap,Asian American Alone,county,CVAP,2270,0.447,YES,2270,0.447
"Aleutians West Census Area, Alaska",cvap,NHPI Alone,county,CVAP,145,0.448,YES,145,0.448
"Anchorage Municipality, Alaska",cvap,Asian American Alone,county,CVAP,28035,0.55,YES,28035,0.55
"Anchorage Municipality, Alaska",cvap,NHPI Alone,county,CVAP,6910,0.585,YES,6910,0.585
"Bethel Census Area, Alaska",cvap,Asian American Alone,county,CVAP,185,0.432,NO,,
"Bethel Census Area, Alaska",cvap,NHPI Alone,county,CVAP,4,1,NO,,
"Bristol Bay Borough, Alaska",cvap,Asian American Alone,county,CVAP,4,0,NO,,
"Bristol Bay Borough, Alaska",cvap,NHPI Alone,county,CVAP,4,1,NO,,
"Denali Borough, Alaska",cvap,Asian American Alone,county,CVAP,100,0.1,NO,,
"Denali Borough, Alaska",cvap,NHPI Alone,county,CVAP,0,,NO,,
"Dillingham Census Area, Alaska",cvap,Asian American Alone,county,CVAP,75,0.733,NO,,
"Dillingham Census Area, Alaska",cvap,NHPI Alone,county,CVAP,4,1,NO,,
"Fairbanks North Star Borough, Alaska",cvap,Asian American Alone,county,CVAP,2925,0.547,YES,2925,0.547
